tot,wh,afam,amin,as,hw,ot,combo1,combo2,combo3,tract,simpsons,gini-simp
5078,3970,33,13,553,0,64,445,0,445,220.01,0.6386434248798694,0.36135657512013064
4965,3970,59,20,619,16,21,260,27,233,220.03,0.660058759757375,0.33994124024262495
4880,3216,97,77,1083,0,156,251,0,251,220.05,0.49051082538296165,0.5094891746170384
3968,3194,32,0,551,0,22,169,0,169,220.06,0.6709336867317575,0.32906631326824254
4704,4033,31,12,442,0,50,136,0,136,221.01,0.7457219973448564,0.25427800265514355
6298,4681,5,25,1144,0,110,333,32,301,221.02,0.590845249102958,0.409154750897042
4277,3627,23,0,317,7,84,219,17,202,222.01,0.7299242228975239,0.2700757771024761
7485,5614,106,80,1143,0,206,336,0,336,222.02,0.5909714597308623,0.4090285402691377
5087,4271,38,0,466,0,39,273,0,273,222.03,0.7191796107277312,0.2808203892722688
2569,2106,26,0,220,0,77,140,0,140,223.0,0.6863037919100405,0.31369620808995946
8966,7585,119,14,789,0,50,409,0,409,224.0,0.7277867800975544,0.2722132199024456
7971,6568,0,66,744,0,197,396,0,396,225.0,0.6932821384682945,0.30671786153170555
5652,3947,64,32,1107,0,189,313,9,304,226.03,0.5332762416425378,0.46672375835746216
4652,3537,47,0,772,16,0,280,14,266,226.04,0.6126383385986223,0.38736166140137773
6290,3971,126,0,1406,0,661,126,0,126,226.05,0.46077696699785925,0.5392230330021408
5923,4374,126,14,1302,0,23,84,0,84,226.06,0.5945452144321939,0.4054547855678061
2692,2193,17,0,340,0,9,133,0,133,227.01,0.6845163645957755,0.3154836354042245
4080,3282,45,3,507,28,0,215,0,215,227.02,0.668243043540946,0.331756956459054
2385,1841,113,0,344,0,1,86,0,86,227.03,0.6214907110741926,0.3785092889258074
8314,3344,403,10,4187,0,81,289,65,224,228.01,0.4198380656883894,0.5801619343116107
5017,3363,64,0,1362,2,52,174,0,174,228.02,0.5257058828367048,0.47429411716329517
5271,2419,26,14,2363,118,40,291,0,291,228.03,0.4182738919919962,0.5817261080080038
3018,1819,75,0,1055,0,0,69,0,69,229.01,0.4871294653110715,0.5128705346889285
6472,4123,75,0,2051,0,53,170,18,152,229.02,0.507713650205277,0.49228634979472297
4988,3715,82,20,860,1,51,259,28,231,230.0,0.5896982348655215,0.41030176513447847
