yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang,combinedName
2005,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Mystery,MYS,English,English,David Rosenfelt
1997,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Michael Connelly
1979,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Nature/Gardening,,English,English,David Frazier
1988,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Nature/Gardening,,English,English,Rayford Clayton Reddell
1994,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Nature/Gardening,Nature/Gardening,,English,English,Judy Glattstein
2007,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Vera B Williams
2004,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Andrew Clements
1991,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Teddy Slater
2004,1,0,1,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,,Hyperion
1991,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Frank Asch
2006,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Walter Wick
2006,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,,English,Dian Curtis Regan
2001,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Don Freeman
2014,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Andrea Zimmerman
2002,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Anne Millard
2015,1,0,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Disney Book Group
2005,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Eric Carle
1991,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Lydia Child
2018,1,0,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,,,
2007,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Linda Johns
2011,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Laurie Isop
2003,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Craig Dorfman
2004,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Karen Kaufman
1999,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,"English, Undetermined",English,Ann McGovern
1984,1,0,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,,,
2014,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Tracey West
1997,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Joy Richardson
2011,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Fiona Watt
2014,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,,English,Juli Brenning
2002,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Jenny Nimmo
1982,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Frank Asch
2016,1,0,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,RH Disney
1982,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Sandra Boynton
1960,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,,Dana Bruce
1999,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Judi Barrett
2004,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Anna Milbourne
1999,1,0,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,
2012,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Marianne Berkes
2007,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Charles M. Schulz
1999,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Christine Zuchora-Walske
1991,1,0,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,
1997,1,0,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,
2004,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Brinton Turkle
2009,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Scott Foresman
2009,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Scott Foresman
2009,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Scott Foresman
2002,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,David Lewman
1987,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Eric Hill
1971,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Hugh Lofting
2012,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Joseph J. Andrade
1995,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Ernst Weiss
2003,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Eva Ibbotson
1989,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Martin Handford
2011,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,,Joe Troiano
2015,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Sherry Shahan
2003,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Bruce Coville
2011,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,American Water Works Association
1996,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Bill Peet
1999,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Jan Pfloog
1994,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Trish Hart
1992,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Gerald McDermott
2005,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,English,Valerie Tripp
2014,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,,English,Jane Chapman
1975,1,0,1,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,English,,Disney
2002,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,English,Jack Otten
2014,1,0,0,Northgate,Northgate3,Nonfiction,Childrens,Null,Null,NU,English,,Suzanne Tate
1970,1,0,0,Northgate,Northgate3,Fiction,Childrens,Null,Null,NU,,English,Phil Pepe
2012,1,1,0,Northgate,Northgate3,Nonfiction,Adult,Politics,Politics,POL,English,English,Valentine M. Moghadam
2001,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Politics,Politics,POL,English,English,William L. Ury
1999,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Politics,Politics,POL,English,English,Lisa Rofel
1988,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Reference,Reference,REF,English,English,Bernard LeGette
1975,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Reference,Reference,REF,English,English,Jess Stein
2005,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Reference,Reference,REF,English,English,Stanley Newman
1983,1,1,0,Northgate,Northgate3,Nonfiction,Adult,Religion,Religion,R,English,Chinese,Master Hsuan Hua
2010,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Religion,Religion,R,English,English,Casey Treat
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Religion,Religion,R,English,English,Maharishi Sadasiva Isham
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Religion,Religion,R,English,English,Maharishi Sadasiva Isham
1998,1,0,0,Northgate,Northgate3,Fiction,Adult,Romance,Romance,ROM,English,English,Debbie Macomber
2016,1,1,0,Northgate,Northgate3,Fiction,Adult,Romance,Romance,ROM,English,,Antonio J. Hopson
2019,1,0,0,Northgate,Northgate3,Fiction,Adult,Romance,Romance,ROM,English,English,Carola Lovering
2019,1,1,0,Northgate,Northgate3,Nonfiction,Adult,Science,Science,SCI,,,K.R. Abhisheck
1994,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Science,Science,SCI,English,English,Dean Hamer
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,R. Garcia y Robertson
1980,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,John Brunner
1987,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Piers Anthony
2004,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,John Marco
2003,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Mick Farren
1995,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,L. E. Modesitt Jr.
1998,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,L. E. Modesitt Jr.
2006,1,0,0,Northgate,Northgate3,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,John Marco
2011,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Meg Keene
1999,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Mike Stensvoid
2012,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Ross Campbell
2016,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Desiree Hartsock
1999,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Debbie Ford
1999,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Julian Calder
2014,1,1,0,Northgate,Northgate3,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,,Susan Sly
1964,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Sports,S,,,Mac Davis
1968,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Sports,S,,,Berry Stainback
1969,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Sports,S,English,,Maury Allen
1989,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Sports,S,English,English,Dave Sloan
1967,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Sports,S,,English,Vince Lombardi
2010,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Sports,Sports,S,English,English,Ken Armstrong
1989,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Sports,Sports,S,English,,Sporting News
2014,1,0,0,Northgate,Northgate3,Fiction,Adult,Suspense,Suspense,SUS,English,English,James Patterson
2011,1,0,0,Northgate,Northgate3,Fiction,Adult,Suspense,Suspense,SUS,English,English,Jennifer Morey
1995,1,0,0,Northgate,Northgate3,Fiction,Adult,Suspense,Suspense,SUS,English,English,John D. MacDonald
2013,1,0,0,Northgate,Northgate3,Fiction,Adult,Suspense,Suspense,SUS,English,English,Mary Higgins Clark
2010,1,0,0,Northgate,Northgate3,Fiction,Adult,Suspense,Suspense,SUS,English,English,Evelyn Vaughn
1995,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Travel,Travel,TR,English,English,Darwin Porter
2000,1,0,0,Northgate,Northgate4,Fiction,Adult,Classics,Classics,CL,English,English,Edward Abbey
1992,1,0,1,Northgate,Northgate4,Nonfiction,Adult,Cookery,Cookery,CO,English,,
2007,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Michael Pollan
2009,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Pierre Bayard
1995,1,0,0,Northgate,Northgate4,Fiction,Adult,Mystery,Mystery,MYS,English,English,John Grisham
1978,1,0,0,Northgate,Northgate4,Fiction,Adult,Mystery,Mystery,MYS,English,English,Ross Macdonald
1990,1,0,0,Northgate,Northgate4,Fiction,Adult,Mystery,Mystery,MYS,English,English,Ross Macdonald
1966,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Nature/Gardening,Nature/Gardening,,English,English,Henry David Thoreau
1964,1,0,1,Northgate,Northgate4,Nonfiction,Childrens,Null,Null,NU,English,,Instant Maxwell House Coffee
1985,1,0,0,Northgate,Northgate4,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,J.R.R. Tolkien
2013,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,William Sears
2007,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Linda J. Murray
2003,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Sandee Hathaway
2009,1,0,0,Northgate,Northgate4,Fiction,Adult,Suspense,Suspense,SUS,English,English,J. A. Jance
2015,1,0,0,Northgate,Northgate4,Fiction,Adult,Suspense,Suspense,SUS,English,English,Brad Taylor
1985,1,0,0,Northgate,Northgate5,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Bill Henderson
2018,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Paul Myers
2004,1,1,0,Northgate,Northgate5,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Amy Tan
1993,1,0,0,Northgate,Northgate5,Fiction,Adult,Classics,Classics,CL,English,English,Alfred Uhry
1954,1,0,0,Northgate,Northgate5,Fiction,Adult,Classics,Classics,CL,English,English,Ernest Hemingway
2017,1,0,0,Northgate,Northgate5,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Catherine Banner
1985,1,1,0,Northgate,Northgate5,Fiction,Adult,Drama,Drama,DR,English,English,August Wilson
2007,1,1,0,Northgate,Northgate5,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Gail Tsukiyama
1998,1,0,0,Northgate,Northgate5,Fiction,Adult,Suspense,Suspense,SUS,English,English,Ismail Kadare
2004,1,0,0,Northgate,Northgate5,Fiction,Adult,Mystery,Mystery,MYS,English,English,Patricia Cornwell
2017,1,0,0,Northgate,Northgate5,Fiction,Adult,Mystery,Mystery,MYS,English,English,Peter Robinson
2018,1,0,0,Northgate,Northgate5,Fiction,Young Adult,Mystery,Mystery,MYS,English,English,Beth Kephart
2014,1,0,0,Northgate,Northgate5,Fiction,Childrens,Null,Null,NU,English,English,Louise Kennedy
2016,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Politics,Politics,POL,English,English,Norm Stamper
1986,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Reference,Reference,REF,English,English,Simon Goldhill
1963,1,1,0,Northgate,Northgate5,Nonfiction,Adult,Religion,Religion,R,English,English,Chʻêng-chi Chang
2010,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,George E. Dvorchak
1986,1,1,0,Northgate,Northgate5,Fiction,Adult,Suspense,Suspense,SUS,English,English,Manuel Puig
1993,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,William Manchester
1999,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Leo Marks
1987,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Margery Allingham
1967,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Daphne Du Maurier
2019,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Comedy,Comedy,COM,English,English,Elena Louise Richmond
1980,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Drama,Drama,DR,,,Robert Grossbach
2017,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Alan Furst
2017,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Alan Furst
2002,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,History,History,H,English,English,Russell Miller
1997,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Mystery,Mystery,MYS,English,English,Carol Smith
2017,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Mystery,Mystery,MYS,English,English,Jeff Johnson
2000,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Romance,Romance,ROM,English,English,Thomas Orton
2007,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Lynne Vogel
2011,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Suspense,Suspense,SUS,English,English,James Rollins
1961,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Young Adult,Adventure,Adventure,ADV,English,,Bernard Palmer
2014,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Business/Technology,Business/Technology,BU,English,,Fakegrimlock
1996,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Classics,Classics,CL,English,English,John Updike
2013,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Young Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Sara Zarr
1997,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Drama,Drama,DR,English,,George S. Kaufman
2011,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Peter Stafford Carey
1992,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Joe Gores
1994,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Phillip Margolin
1988,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Frederick D. Huebner
1991,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Sidney Sheldon
1995,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Mystery,MYS,English,English,Sidney Sheldon
2003,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,NU,English,,Grace Windsor
2013,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,NU,English,English,Oriol Vidal
1987,1,1,0,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,NU,,,Idalia Rosario
1988,1,0,1,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,NU,English,English,
2014,1,1,0,Phinney-Greenwood,Phinney-Green2,Fiction,Childrens,Null,Null,NU,Spanish,,Ana María Shua
2012,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Poetry,Poetry,P,English,,Grant Cogswell
1998,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Religion,Religion,R,English,English,Richard. J. Foster
1993,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Romance,Romance,ROM,English,English,Belva Plain
2003,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Mercedes Lackey
1985,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Marge Piercy
1999,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Poppy Bloom
2006,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Randall Howard Ghent
2003,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,,Budoff Matthew
1999,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Julian Bell
2016,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Stephanie Weeks
1967,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,,"Carl Rogers, Barry Stevens"
1980,1,0,0,Phinney-Greenwood,Phinney-Green2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Ray Bradbury
2011,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Suspense,Suspense,SUS,English,English,Ted Dekker
1992,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Young Adult,Adventure,Adventure,ADV,English,,Susan L Reynolds
2012,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Jodi Kantor
2014,1,1,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Comedy,Comedy,COM,English,English,Radhika Sanghani
1961,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Beatrice Trum Hunter
1977,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,John Louis Feirer
1986,1,1,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Crafts,Crafts,CR,English,English,aliki
2013,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Jane Green
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Linda Olsson
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Jane Green
2010,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Peter Pezzelli
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Kathleen Grissom
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Ronald Wright
1984,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,History,H,English,English,"Knox Williams, Betsy Armstrong"
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,History,H,English,English,Mike Lofgren
1975,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,History,H,English,,A. E. Van Vogt
1985,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,History,H,English,English,Barbara W. Tuchman
2003,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,History,H,English,English,Sheldon Rampton
1999,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Young Adult,Literary Fiction,Literary Fiction,LITF,English,English,Paul Fleischman
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Nancy Atherton
2005,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Stanley Crawford
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Linda Greenlaw
2001,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Young Adult,Mystery,Mystery,MYS,English,English,Carol-Plum-Ucci
2001,1,0,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,
2014,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Bruce Hale
2005,1,0,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,NU,English,English,Popular Book Company Limited
1996,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Dayal Kaur Khalsa
1993,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Janet Stevens
2007,1,0,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Disney Book Group
2014,1,0,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,DK
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Suzanne Francis
1985,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,William Joyce
1985,1,0,1,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,NU,English,English,
2018,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,James Dean
2014,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,James Dean
2009,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Simon Beecroft
2015,1,0,1,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,
2017,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Suzanne Selfors
1976,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Watty Piper
2000,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Marian Potter
1987,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Judith Viorst
2012,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Thomas Macri
2001,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Childrens,Null,Null,NU,English,English,Marc Kornblatt
1987,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,NU,English,English,James Bastien
1987,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Childrens,Null,Null,NU,English,English,James Bastien
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Politics,Politics,POL,English,English,Colin Woodard
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Politics,Politics,POL,English,English,Caitlin Moran
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Religion,Religion,R,English,English,Tim Schenck
2011,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Religion,Religion,R,English,English,Diane Noble
