yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang,combinedName
2010,1,0,0,Central District,CentralDistrict4,Fiction,Young Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Linda Buckley-Archer
1981,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,,Myles J Schneider
2000,1,0,1,Central District,CentralDistrict4,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Great Source
2003,1,1,0,Central District,CentralDistrict4,Nonfiction,Adult,Sports,Sports,S,English,English,"Iii, Brandford"
1996,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Suspense,Suspense,SUS,English,English,Harlan Coben
2017,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Suspense,Suspense,SUS,English,English,Phyllis A. Whitney
2018,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Suspense,Suspense,SUS,English,English,Elizabeth Peters
2012,1,0,1,Central District,CentralDistrict5,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,,,
2007,1,1,0,Central District,CentralDistrict5,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,,,Huvell Edwards
1988,1,1,0,Central District,CentralDistrict5,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,Japanese,,Michiko Saito
2012,1,0,0,Central District,CentralDistrict5,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Dennis Lehane
1989,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,History,History,H,English,English,Richard Nixon
1962,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,History,History,H,English,English,Edmund S. Morgan
1987,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,,Paul Cheremisinoff
1988,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Art,Art,ART,English,English,Susan Au
2018,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Wendy R. Sherman
2010,1,0,1,Central District,CentralDistrict6,Fiction,Adult,Religion,Religion,R,Spanish,,
2006,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Philippa Gregory
2015,1,1,0,Central District,CentralDistrict6,Fiction,Adult,Romance,Romance,ROM,English,English,Cynthia Bond
1997,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Mystery,Mystery,MYS,English,English,Laurie R. King
2018,1,0,1,Central District,CentralDistrict6,Fiction,Adult,Mystery,Mystery,MYS,,,Jason Matthews
2001,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Politics,Politics,POL,English,English,Peggy DesAutels
2012,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Nancy L. Mace
2013,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Suspense,Suspense,SUS,English,English,Tom Clancy
1998,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Art,Art,ART,"English, French",English,Béatrice Fontanel
2019,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Pam Grossman
2017,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Kathleen Grissom
2007,1,0,1,Columbia City,ColumbiaCity1,Nonfiction,Adult,History,History,H,English,English,Magazine Editors of Time
2019,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Mystery,Mystery,MYS,English,English,Rachel Monroe
2013,1,0,0,Columbia City,ColumbiaCity1,Fiction,Childrens,Null,Null,NU,English,English,Sally Rippin
2019,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Politics,Politics,POL,English,English,Daphne de Marneffe
1964,1,1,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Religion,Religion,R,English,English,Lao Tzu
2018,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,Romance,Romance,ROM,English,English,Ellen Hopkins
1984,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Walter M. Miller Jr.
1985,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Siter Vera Gallagher
2019,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,Suspense,Suspense,SUS,English,English,Emily Liebert
2009,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,Suspense,Suspense,SUS,English,English,Dale Brown
1996,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Anthology/Essays/Short stories,Anthology/Essays/Short stories,AN,English,English,Jerome Stern
1974,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Jack Clifford Smith
1991,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Jeff Smith
1991,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Jeff Smith
1990,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Domestic Fiction,Domestic Fiction,DF,English,English,Wallace Stegner
2019,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Historical Fiction,Historical Fiction,HF,English,English,Myla Goldberg
2008,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Sarah Schulman
1990,1,0,1,Columbia City,ColumbiaCity2,Nonfiction,Adult,Reference,Reference,REF,English,English,American Heritage Editors
2019,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Romance,Romance,ROM,English,English,James Gregor
2014,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Romance,Romance,ROM,English,English,Claire R. McDougall
2011,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,SciFi/Fantasy,SciFi/Fantasy,SCIFAN,English,English,Virginia Reynolds
2019,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Patric Kuh
2018,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Cecile Richards
2005,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,John Baur
2004,1,0,0,Columbia City,ColumbiaCity2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Phineas Mollod
2012,1,0,0,Columbia City,ColumbiaCity2,Fiction,Adult,Suspense,Suspense,SUS,English,English,Kathy Reichs
