neighborhood_x,isbn,neighborhood_y
Phinney-Greenwood,9.78044E+12,
Ravenna,9.78044E+12,
Northgate,9.78044E+12,
Central District,9.78044E+12,
Columbia City,9.78044E+12,
Phinney-Greenwood,9.78044E+12,
Phinney-Greenwood,9.78045E+12,
Ravenna,9.78045E+12,
Northgate,9.78045E+12,
Northgate,9.78045E+12,
Queen Anne,9.78045E+12,
Queen Anne,9.78045E+12,
Queen Anne,9.78045E+12,
Columbia City,9.78045E+12,
Phinney-Greenwood,9.78045E+12,
Central District,9.78047E+12,
Northgate,9.78049E+12,
Central District,9.78052E+12,
Central District,9.78052E+12,
Columbia City,9.78053E+12,
Laurelhurst,9.78053E+12,
Northgate,9.78053E+12,
Central District,9.78055E+12,
Northgate,9.78055E+12,
Phinney-Greenwood,9.78055E+12,
Laurelhurst,9.78055E+12,
Ravenna,9.78055E+12,
Queen Anne,9.78055E+12,
Phinney-Greenwood,9.78057E+12,
Phinney-Greenwood,9.78059E+12,
Northgate,9.78062E+12,
Laurelhurst,9.78062E+12,
Montlake,9.78062E+12,
Northgate,9.78067E+12,
Ravenna,9.78067E+12,
Queen Anne,9.78067E+12,
Ravenna,9.78068E+12,
Northgate,9.78068E+12,
Ravenna,9.78068E+12,
Northgate,9.78069E+12,
Phinney-Greenwood,9.78069E+12,
Laurelhurst,9.78069E+12,
Queen Anne,9.78069E+12,
Northgate,9.78069E+12,
Northgate,9.78069E+12,
Northgate,9.78074E+12,
Montlake,9.78074E+12,
Northgate,9.78076E+12,
Northgate,9.78076E+12,
Phinney-Greenwood,9.78077E+12,
Phinney-Greenwood,9.78077E+12,
Northgate,9.78079E+12,
Central District,9.78079E+12,
Queen Anne,9.7808E+12,
Laurelhurst,9.7808E+12,
Laurelhurst,9.7808E+12,
Central District,9.7808E+12,
Montlake,9.78081E+12,
Central District,9.78081E+12,
Northgate,9.78081E+12,
Northgate,9.78081E+12,
Laurelhurst,9.78081E+12,
Phinney-Greenwood,9.78081E+12,
Phinney-Greenwood,9.78081E+12,
Ravenna,9.78089E+12,
Columbia City,9.78098E+12,
Phinney-Greenwood,9.7811E+12,
Montlake,9.78125E+12,
Northgate,9.78125E+12,
Northgate,9.7814E+12,
Laurelhurst,9.7814E+12,
Central District,9.78142E+12,
Ravenna,9.78142E+12,
Ravenna,9.78142E+12,
Phinney-Greenwood,9.78142E+12,
Ravenna,9.78144E+12,
Columbia City,9.78145E+12,
Columbia City,9.78145E+12,
Columbia City,9.78145E+12,
Phinney-Greenwood,9.78148E+12,
Northgate,9.78148E+12,
Columbia City,9.78148E+12,
Central District,9.7815E+12,
Central District,9.78157E+12,
Northgate,9.78157E+12,
Northgate,9.78157E+12,
Northgate,9.78159E+12,
Ravenna,9.78159E+12,
Northgate,9.78161E+12,
Ravenna,9.78161E+12,
Northgate,9.78161E+12,
Ravenna,9.78162E+12,
Laurelhurst,9.78194E+12,
Ravenna,9.78194E+12,
Montlake,9.79E+12,
Central District,000723306X,
Montlake,006016848X,
Phinney-Greenwood,006019491X,
Montlake,006134818X,
Northgate,006239505X,
Queen Anne,006283858X,
Northgate,006443642X,
Columbia City,014044100X,
Laurelhurst,014250050X,
Queen Anne,014303698X,
Montlake,020103915X,
Ravenna,030727117X,
Phinney-Greenwood,030747304X,
Northgate,032850761X,
Central District,034538430X,
Ravenna,034545538X,
Ravenna,034545894X,
Ravenna,037363837X,
Ravenna,037376023X,
Northgate,037383344X,
Central District,037582670X,
Northgate,038069915X,
Northgate,038303597X,
Ravenna,039913932X,
Northgate,039914465X,
Ravenna,043940147X,
Phinney-Greenwood,043961886X,
Northgate,043967249X,
Phinney-Greenwood,044692279X,
Ravenna,045121627X,
Laurelhurst,045147306X,
Central District,051512558X,
Central District,054550922X,
Ravenna,055213385X,
Queen Anne,055358975X,
Phinney-Greenwood,059045031X,
Northgate,067144901X,
Central District,067339347X,
Queen Anne,067974536X,
Phinney-Greenwood,068983215X,
Northgate,068985692X,
Northgate,069620732X,
Northgate,073642850X,
Northgate,075640360X,
Phinney-Greenwood,079452947X,
Northgate,081122337X,
Central District,082252158X,
Phinney-Greenwood,084979319X,
Northgate,087113893X,
Phinney-Greenwood,088028403X,
Queen Anne,091205901X,
Phinney-Greenwood,095108562X,
Ravenna,096510365X,
Montlake,097410227X,
Laurelhurst,140009688X,
Northgate,140134092X,
Northgate,141656635X,
Phinney-Greenwood,143917511X,
Northgate,155709134X,
Northgate,159486411X,
Central District,159558000X,
Queen Anne,160219002X,
Northgate,163243069X,
Northgate,163353331X,
Northgate,189723161X,
Central District,376077184X,
Montlake,382900382X,
Phinney-Greenwood,978-0170056915,
Phinney-Greenwood,978-0322098602,
Central District,978-4810702682,
Central District,,
Central District,,
Central District,,
Central District,,
Central District,,
Central District,,
Central District,,
Central District,,
Columbia City,,
Columbia City,,
Columbia City,,
Columbia City,,
