#Caste is Not a Rumour: The Online Diary of Rohith Vemula,Rohith Vemula,https://www.goodreads.com/author/show/15609828.Rohith_Vemula,3.97,34,https://goodreads.com/book/show/31443092-caste-is-not-a-rumour
Abraham's Well,Sharon Ewell Foster,https://www.goodreads.com/author/show/115259.Sharon_Ewell_Foster,3.93,281,https://goodreads.com/book/show/197832.Abraham_s_Well
"Accidentally Compromising the Duke (Wedded by Scandal, #1)",Stacy Reid,https://www.goodreads.com/author/show/8076768.Stacy_Reid,4.06,2918,https://goodreads.com/book/show/28644556-accidentally-compromising-the-duke
"Acting on Impulse (Love on Cue, #1)",Mia Sosa,https://www.goodreads.com/author/show/14552097.Mia_Sosa,3.67,672,https://goodreads.com/book/show/33783458-acting-on-impulse
Adaptation (Adaptation #1),Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.27,529,https://goodreads.com/book/show/22815321-adaptation
"Adaptation (Adaptation, #1)",Malinda Lo,https://www.goodreads.com/author/show/2884780.Malinda_Lo,3.63,6957,https://goodreads.com/book/show/10744752-adaptation
"Adulthood Rites (Xenogenesis, #2)",Octavia E. Butler,https://www.goodreads.com/author/show/29535.Octavia_E_Butler,4.16,12395,https://goodreads.com/book/show/19105727-adulthood-rites
Africa's Tarnished Name,Chinua Achebe,https://www.goodreads.com/author/show/8051.Chinua_Achebe,4.4,777,https://goodreads.com/book/show/36436064-africa-s-tarnished-name
After the Wedding (The Worth Saga #2),Courtney Milan,https://www.goodreads.com/author/show/2906892.Courtney_Milan,3.81,1701,https://goodreads.com/book/show/22817537-after-the-wedding
After Tupac and D Foster,Jacqueline Woodson,https://www.goodreads.com/author/show/74640.Jacqueline_Woodson,3.78,3807,https://goodreads.com/book/show/1583449.After_Tupac_and_D_Foster
Against the Gates of Hell: A Crack House Exodus,Mylow Young,https://www.goodreads.com/author/show/4689652.Mylow_Young,3.75,48,https://goodreads.com/book/show/12527207-against-the-gates-of-hell
Agnes Moor's Wild Knight,Alyssa Cole,https://www.goodreads.com/author/show/7790155.Alyssa_Cole,3.93,699,https://goodreads.com/book/show/23674576-agnes-moor-s-wild-knight
Ain't I a Woman: Black Women and Feminism,bell hooks,https://www.goodreads.com/author/show/10697.bell_hooks,4.41,7287,https://goodreads.com/book/show/250792.Ain_t_I_a_Woman
Aké: The Years of Childhood,Wole Soyinka,https://www.goodreads.com/author/show/978.Wole_Soyinka,3.92,1407,https://goodreads.com/book/show/2567.Ak_
"Akata Warrior (Akata Witch, #2)",Nnedi Okorafor,https://www.goodreads.com/author/show/588356.Nnedi_Okorafor,4.25,6557,https://goodreads.com/book/show/18746776-akata-warrior
"Akata Witch (Akata Witch, #1)",Nnedi Okorafor,https://www.goodreads.com/author/show/588356.Nnedi_Okorafor,4.06,19583,https://goodreads.com/book/show/7507944-akata-witch
All Aunt Hagar's Children: Stories,Edward P. Jones,https://www.goodreads.com/author/show/33.Edward_P_Jones,3.79,1777,https://goodreads.com/book/show/11751.All_Aunt_Hagar_s_Children
All Our Wild Wonder,Sarah Kay,https://www.goodreads.com/author/show/11377.Sarah_Kay,4.46,256,https://goodreads.com/book/show/36204281-all-our-wild-wonder
All the Weight of Our Dreams: On Living Racialized Autism,Autism Women's Network,https://www.goodreads.com/author/show/15042503.Autism_Women_s_Network,4.59,59,https://goodreads.com/book/show/35564512-all-the-weight-of-our-dreams
All You Can Ever Know,Nicole Chung,https://www.goodreads.com/author/show/15285653.Nicole_Chung,3.85,14730,https://goodreads.com/book/show/30297153-all-you-can-ever-know
Allegedly,Tiffany D. Jackson,https://www.goodreads.com/author/show/15119254.Tiffany_D_Jackson,4.09,15628,https://goodreads.com/book/show/30037870-allegedly
Almanac of the Dead,Leslie Marmon Silko,https://www.goodreads.com/author/show/29581.Leslie_Marmon_Silko,3.95,2516,https://goodreads.com/book/show/52385.Almanac_of_the_Dead
"Along Came Love (Shades of Love, #2)",Tracey Livesay,https://www.goodreads.com/author/show/7789871.Tracey_Livesay,3.68,508,https://goodreads.com/book/show/28693731-along-came-love
Altered Straits,Kevin Martens Wong,https://www.goodreads.com/author/show/15480878.Kevin_Martens_Wong,3.89,37,https://goodreads.com/book/show/31111098-altered-straits
Alternative Alamat: Stories Inspired by Philippine Mythology,Paolo Chikiamco,https://www.goodreads.com/author/show/4446292.Paolo_Chikiamco,4.17,322,https://goodreads.com/book/show/13133725-alternative-alamat
Amarna Book I: Book of Ida,Grea Alexander,https://www.goodreads.com/author/show/6604619.Grea_Alexander,4.05,44,https://goodreads.com/book/show/43783732-amarna-book-i
Amarna Book II: Book of Hawara,Grea Alexander,https://www.goodreads.com/author/show/6604619.Grea_Alexander,3.94,17,https://goodreads.com/book/show/43783995-amarna-book-ii
Amarna Book III: Book of Raia,Grea Alexander,https://www.goodreads.com/author/show/6604619.Grea_Alexander,4.83,12,https://goodreads.com/book/show/43784525-amarna-book-iii
Amarna: The Complete Series,Grea Alexander,https://www.goodreads.com/author/show/6604619.Grea_Alexander,4.83,6,https://goodreads.com/book/show/43811742-amarna
"America Return to God: Repent From Sin, Rebuild the Wall, Repair the Gates, Restore the Dream",Alveda C. King,https://www.goodreads.com/author/show/286573.Alveda_C_King,3.67,3,https://goodreads.com/book/show/33966196-america-return-to-god
American Ace,Marilyn Nelson,https://www.goodreads.com/author/show/53711.Marilyn_Nelson,3.45,532,https://goodreads.com/book/show/25387905-american-ace
American Born Chinese,Gene Luen Yang,https://www.goodreads.com/author/show/68959.Gene_Luen_Yang,3.88,69456,https://goodreads.com/book/show/118944.American_Born_Chinese
"American Fairytale (Dreamers, #2)",Adriana  Herrera,https://www.goodreads.com/author/show/18639202.Adriana_Herrera,4.09,520,https://goodreads.com/book/show/43198519-american-fairytale
American Street,Ibi Zoboi,https://www.goodreads.com/author/show/5241080.Ibi_Zoboi,4,13982,https://goodreads.com/book/show/30256109-american-street
Americanah,Chimamanda Ngozi Adichie,https://www.goodreads.com/author/show/11291.Chimamanda_Ngozi_Adichie,4.31,241628,https://goodreads.com/book/show/15796700-americanah
An American Marriage,Tayari Jones,https://www.goodreads.com/author/show/292970.Tayari_Jones,3.96,230340,https://goodreads.com/book/show/33590210-an-american-marriage
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,https://www.goodreads.com/author/show/7770873.Sabaa_Tahir,4.29,168616,https://goodreads.com/book/show/20560137-an-ember-in-the-ashes
An Equal Music,Vikram Seth,https://www.goodreads.com/author/show/28345.Vikram_Seth,3.78,9106,https://goodreads.com/book/show/96590.An_Equal_Music
An Era of Darkness: The British Empire in India,Shashi Tharoor,https://www.goodreads.com/author/show/17287.Shashi_Tharoor,4.16,6325,https://goodreads.com/book/show/32618967-an-era-of-darkness
"An Extraordinary Union (The Loyal League, #1)",Alyssa Cole,https://www.goodreads.com/author/show/7790155.Alyssa_Cole,3.87,4835,https://goodreads.com/book/show/30237404-an-extraordinary-union
"An Extraordinary Union (The Loyal League, #1)",Alyssa Cole,https://www.goodreads.com/author/show/7790155.Alyssa_Cole,3.87,4833,https://goodreads.com/book/show/30237404-an-extraordinary-union
An Unkindness of Ghosts,Rivers Solomon,https://www.goodreads.com/author/show/16488815.Rivers_Solomon,4,7920,https://goodreads.com/book/show/34381254-an-unkindness-of-ghosts
Angel Over My Shoulder,Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,3.81,196,https://goodreads.com/book/show/13644229-angel-over-my-shoulder
Angelborn (The Eternal Flame #1),L. Penelope,https://www.goodreads.com/author/show/9870934.L_Penelope,4.07,105,https://goodreads.com/book/show/25450786-angelborn
