https://www.goodreads.com/list/show/96282._ReadPOC_List_of_Romance_Books_by_Authors_of_Color,,,,,
title,author,author_url,rating,voters_count,url
"The Heiress Effect (Brothers Sinister, #2)",Courtney Milan,https://www.goodreads.com/author/show/2906892.Courtney_Milan,3.92,11462,https://goodreads.com/book/show/13489922-the-heiress-effect
,,,,,
The Happiest Song Plays Last,Quiara Alegría Hudes,https://www.goodreads.com/author/show/1083742.Quiara_Alegr_a_Hudes,4,79,https://goodreads.com/book/show/17465620-the-happiest-song-plays-last
,,,,,
An American Marriage,Tayari Jones,https://www.goodreads.com/author/show/292970.Tayari_Jones,3.96,230340,https://goodreads.com/book/show/33590210-an-american-marriage
,,,,,
"Subjugation (The Book of Alyssia, #1)",L.S.  Bethel,https://www.goodreads.com/author/show/18765321.L_S_Bethel,5,1,https://goodreads.com/book/show/49643297-subjugation
,,,,,
"The Belles (The Belles, #1)",Dhonielle Clayton,https://www.goodreads.com/author/show/7359319.Dhonielle_Clayton,3.84,17301,https://goodreads.com/book/show/23197837-the-belles
,,,,,
The Icarus Girl,Helen Oyeyemi,https://www.goodreads.com/author/show/80808.Helen_Oyeyemi,3.6,3967,https://goodreads.com/book/show/7017909-the-icarus-girl
,,,,,
Celestial Bodies,Jokha Alharthi,https://www.goodreads.com/author/show/17883580.Jokha_Alharthi,3.45,7348,https://goodreads.com/book/show/39653535-celestial-bodies
,,,,,
Sea of Poppies,Amitav Ghosh,https://www.goodreads.com/author/show/3369.Amitav_Ghosh,3.95,22621,https://goodreads.com/book/show/3619371-sea-of-poppies
,,,,,
Dhalgren,Samuel R. Delany,https://www.goodreads.com/author/show/49111.Samuel_R_Delany,3.77,8389,https://goodreads.com/book/show/85867.Dhalgren
,,,,,
The Someday List (Jubilant Soul #1),Stacy Hawkins Adams,https://www.goodreads.com/author/show/285849.Stacy_Hawkins_Adams,3.78,1203,https://goodreads.com/book/show/5537663-the-someday-list
,,,,,
Damselfly,Chandra Prasad,https://www.goodreads.com/author/show/207156.Chandra_Prasad,3.42,450,https://goodreads.com/book/show/35276743-damselfly
,,,,,
Historical Fiction/Romance Series Starter Box Set: Amarna & Rebellion,Grea Alexander,https://www.goodreads.com/author/show/6604619.Grea_Alexander,5,1,https://goodreads.com/book/show/43811854-historical-fiction-romance-series-starter-box-set
,,,,,
Halsey Street,Naima Coster,https://www.goodreads.com/author/show/16113141.Naima_Coster,3.52,5407,https://goodreads.com/book/show/35995770-halsey-street
,,,,,
We Should All Be Feminists,Chimamanda Ngozi Adichie,https://www.goodreads.com/author/show/11291.Chimamanda_Ngozi_Adichie,4.45,157440,https://goodreads.com/book/show/23602569-we-should-all-be-feminists
,,,,,
Playing for the Devil's Fire,Phillippe Diederich,https://www.goodreads.com/author/show/8011737.Phillippe_Diederich,3.84,159,https://goodreads.com/book/show/25330167-playing-for-the-devil-s-fire
,,,,,
Little Fires Everywhere,Celeste Ng,https://www.goodreads.com/author/show/164692.Celeste_Ng,4.1,613471,https://goodreads.com/book/show/34273236-little-fires-everywhere
,,,,,
Miael: Family,Grea Alexander,https://www.goodreads.com/author/show/6604619.Grea_Alexander,3.73,26,https://goodreads.com/book/show/43800067-miael
,,,,,
To the Stars,George Takei,https://www.goodreads.com/author/show/260482.George_Takei,3.94,1030,https://goodreads.com/book/show/634911.To_the_Stars
,,,,,
Into White,Randi Pink,https://www.goodreads.com/author/show/8378562.Randi_Pink,3.2,857,https://goodreads.com/book/show/25689018-into-white
,,,,,
"Our Character, Our Future: Reclaiming America's Moral Destiny",Alan Keyes,https://www.goodreads.com/author/show/428669.Alan_Keyes,3.76,25,https://goodreads.com/book/show/1459216.Our_Character_Our_Future
,,,,,
God Smites and Other Muslim Girl Problems,Ishara Deen,https://www.goodreads.com/author/show/16287329.Ishara_Deen,3.9,68,https://goodreads.com/book/show/33816139-god-smites-and-other-muslim-girl-problems
,,,,,
The Inexplicable Logic of My Life,Benjamin Alire Sáenz,https://www.goodreads.com/author/show/4841310.Benjamin_Alire_S_enz,4.14,18457,https://goodreads.com/book/show/23447923-the-inexplicable-logic-of-my-life
,,,,,
With the Fire on High,Elizabeth Acevedo,https://www.goodreads.com/author/show/15253645.Elizabeth_Acevedo,4.25,30808,https://goodreads.com/book/show/38739562-with-the-fire-on-high
,,,,,
Rhapsody in Plain Yellow: Poems,Marilyn Chin,https://www.goodreads.com/author/show/73436.Marilyn_Chin,3.91,117,https://goodreads.com/book/show/424199.Rhapsody_in_Plain_Yellow
,,,,,
They Called Us Enemy,George Takei,https://www.goodreads.com/author/show/260482.George_Takei,4.48,13185,https://goodreads.com/book/show/42527866-they-called-us-enemy
,,,,,
Flygirl,Sherri L. Smith,https://www.goodreads.com/author/show/414681.Sherri_L_Smith,3.95,6879,https://goodreads.com/book/show/4419501-flygirl
,,,,,
"Women Writing in India, Volume I: 600 BC to the Early 20th Century",Susie J. Tharu,https://www.goodreads.com/author/show/398272.Susie_J_Tharu,4.43,44,https://goodreads.com/book/show/1201522.Women_Writing_in_India_Volume_I
,,,,,
Her Father's Daughter,Alice Pung,https://www.goodreads.com/author/show/576550.Alice_Pung,3.87,598,https://goodreads.com/book/show/12507063-her-father-s-daughter
,,,,,
The Marrow Thieves,Cherie Dimaline,https://www.goodreads.com/author/show/2867731.Cherie_Dimaline,4.06,11908,https://goodreads.com/book/show/34649348-the-marrow-thieves
,,,,,
Philanthropic Ways,Eugenie Laverne Mitchell,https://www.goodreads.com/author/show/7339142.Eugenie_Laverne_Mitchell,4.3,27,https://goodreads.com/book/show/20455306-philanthropic-ways
,,,,,
Long Walk to Freedom,Nelson Mandela,https://www.goodreads.com/author/show/367338.Nelson_Mandela,4.34,63520,https://goodreads.com/book/show/318431.Long_Walk_to_Freedom
,,,,,
One Day We'll All Be Dead and None of This Will Matter,Scaachi Koul,https://www.goodreads.com/author/show/15117590.Scaachi_Koul,3.76,10279,https://goodreads.com/book/show/30658435-one-day-we-ll-all-be-dead-and-none-of-this-will-matter
,,,,,
"Black Girl Dangerous on Race, Queerness, Class and Gender",Mia McKenzie,https://www.goodreads.com/author/show/6646771.Mia_McKenzie,4.41,470,https://goodreads.com/book/show/22293177-black-girl-dangerous-on-race-queerness-class-and-gender
,,,,,
Cutting for Stone,Abraham   Verghese,https://www.goodreads.com/author/show/93353.Abraham_Verghese,4.29,331717,https://goodreads.com/book/show/3591262-cutting-for-stone
,,,,,
"Gabi, a Girl in Pieces",Isabel Quintero,https://www.goodreads.com/author/show/8077763.Isabel_Quintero,3.95,9633,https://goodreads.com/book/show/20702546-gabi-a-girl-in-pieces
,,,,,
"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,https://www.goodreads.com/author/show/6238.Marjane_Satrapi,4.25,152528,https://goodreads.com/book/show/9516.Persepolis
,,,,,
The Memory of Light,Francisco X. Stork,https://www.goodreads.com/author/show/1379540.Francisco_X_Stork,3.98,4902,https://goodreads.com/book/show/25665016-the-memory-of-light
,,,,,
Rainbirds,Clarissa Goenawan,https://www.goodreads.com/author/show/16100168.Clarissa_Goenawan,3.39,3810,https://goodreads.com/book/show/33026565-rainbirds
,,,,,
