https://www.goodreads.com/list/show/96282._ReadPOC_List_of_Romance_Books_by_Authors_of_Color,,,,,
title,author,author_url,rating,voters_count,url
Work Song,Danielle Allen,https://www.goodreads.com/author/show/6523680.Danielle_Allen,4.41,490,https://goodreads.com/book/show/26228446-work-song
,,,,,
Second Chance,Audra North,https://www.goodreads.com/author/show/7377144.Audra_North,3.58,401,https://goodreads.com/book/show/22999492-second-chance
,,,,,
"The Mortal Bone (Hunter Kiss, #4)",Marjorie M. Liu,https://www.goodreads.com/author/show/35022.Marjorie_M_Liu,4.13,1085,https://goodreads.com/book/show/11018851-the-mortal-bone
,,,,,
"The Proposal (The Wedding Date, #2)",Jasmine Guillory,https://www.goodreads.com/author/show/16287225.Jasmine_Guillory,3.44,54274,https://goodreads.com/book/show/37584991-the-proposal
,,,,,
"Accidentally Compromising the Duke (Wedded by Scandal, #1)",Stacy Reid,https://www.goodreads.com/author/show/8076768.Stacy_Reid,4.06,2918,https://goodreads.com/book/show/28644556-accidentally-compromising-the-duke
,,,,,
Play of Passion (Psy-Changeling #9),Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.27,23929,https://goodreads.com/book/show/7831145-play-of-passion
,,,,,
"No Turning Back (Liliana, #3)",Neva Squires-Rodriguez,https://www.goodreads.com/author/show/8507331.Neva_Squires_Rodriguez,4.3,27,https://goodreads.com/book/show/25506341-no-turning-back
,,,,,
Miscegenist Sabishii,Pepper Pace,https://www.goodreads.com/author/show/5409221.Pepper_Pace,4.08,723,https://goodreads.com/book/show/16128587-miscegenist-sabishii
,,,,,
The Come Up,Nia Forrester,https://www.goodreads.com/author/show/6447432.Nia_Forrester,4.67,469,https://goodreads.com/book/show/25145434-the-come-up
,,,,,
The Seeing Place,Aziza Eden Walker,https://www.goodreads.com/author/show/14958128.Aziza_Eden_Walker,4.09,22,https://goodreads.com/book/show/28959988-the-seeing-place
,,,,,
Breaking His Rules,Aliza Mann,https://www.goodreads.com/author/show/6552478.Aliza_Mann,3.71,114,https://goodreads.com/book/show/40945652-breaking-his-rules
,,,,,
"The Silent Waters (Elements, #3)",Brittainy C. Cherry,https://www.goodreads.com/author/show/7121791.Brittainy_C_Cherry,4.38,18562,https://goodreads.com/book/show/29963453-the-silent-waters
,,,,,
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,https://www.goodreads.com/author/show/4637539.Tahereh_Mafi,3.96,275814,https://goodreads.com/book/show/10429045-shatter-me
,,,,,
Tikka Chance on Me,Suleikha Snyder,https://www.goodreads.com/author/show/4667140.Suleikha_Snyder,3.95,1280,https://goodreads.com/book/show/42426261-tikka-chance-on-me
,,,,,
Living Out Loud (Free Fall #4),Christina  Lee,https://www.goodreads.com/author/show/7060187.Christina_Lee,4.04,1014,https://goodreads.com/book/show/36196860-living-out-loud
,,,,,
"When Dimple Met Rishi (Dimple and Rishi, #1)",Sandhya Menon,https://www.goodreads.com/author/show/14834224.Sandhya_Menon,3.71,40562,https://goodreads.com/book/show/28458598-when-dimple-met-rishi
,,,,,
Love Bi the Way,Bhaavna Arora,https://www.goodreads.com/author/show/8302876.Bhaavna_Arora,3.4,127,https://goodreads.com/book/show/31927550-love-bi-the-way
,,,,,
"The Wedding Date (The Wedding Date, #1)",Jasmine Guillory,https://www.goodreads.com/author/show/16287225.Jasmine_Guillory,3.56,62745,https://goodreads.com/book/show/33815781-the-wedding-date
,,,,,
"Shards of Hope (Psy-Changeling, #14)",Nalini Singh,https://www.goodreads.com/author/show/71688.Nalini_Singh,4.35,12668,https://goodreads.com/book/show/17159943-shards-of-hope
,,,,,
Kissing the Canvas,Billy London,https://www.goodreads.com/author/show/4933112.Billy_London,4.06,167,https://goodreads.com/book/show/21880581-kissing-the-canvas
,,,,,
Closer Than Close,Bettye Griffin,https://www.goodreads.com/author/show/192258.Bettye_Griffin,3.67,6,https://goodreads.com/book/show/6389883-closer-than-close
,,,,,
Not Broken (Firebacks) (Volume 2),Linda Verji,https://www.goodreads.com/author/show/8281663.Linda_Verji,4,2,https://goodreads.com/book/show/25974515-not-broken-firebacks
,,,,,
Bitten By Deceit,Shawntelle Madison,https://www.goodreads.com/author/show/5116661.Shawntelle_Madison,3.33,185,https://goodreads.com/book/show/17458484-bitten-by-deceit
,,,,,
Fit (Fit Trilogy #1),Rebekah Weatherspoon,https://www.goodreads.com/author/show/4567695.Rebekah_Weatherspoon,3.47,933,https://goodreads.com/book/show/21801485-fit
,,,,,
"Heroine Complex (Heroine Complex, #1)",Sarah Kuhn,https://www.goodreads.com/author/show/612167.Sarah_Kuhn,3.64,3085,https://goodreads.com/book/show/27209443-heroine-complex
,,,,,
The Holiday Secret,Neva Squires-Rodriguez,https://www.goodreads.com/author/show/8507331.Neva_Squires_Rodriguez,4.67,6,https://goodreads.com/book/show/27873564-the-holiday-secret
,,,,,
How To Love A Crook (Crooked In Love Book 2),Linda Verji,https://www.goodreads.com/author/show/8281663.Linda_Verji,4.33,87,https://goodreads.com/book/show/37278621-how-to-love-a-crook
,,,,,
Lush Money (Filthy Rich #1),Angelina M. Lopez,https://www.goodreads.com/author/show/19213274.Angelina_M_Lopez,3.86,226,https://goodreads.com/book/show/46038661-lush-money
,,,,,
Love Next Door,Amina Thula,https://www.goodreads.com/author/show/10787840.Amina_Thula,3.64,14,https://goodreads.com/book/show/28959690-love-next-door
,,,,,
"The Games We Play (Sizzle & Burn, #2)",Linda Verji,https://www.goodreads.com/author/show/8281663.Linda_Verji,4,109,https://goodreads.com/book/show/34819640-the-games-we-play
,,,,,
"The Lawyer's Luck (Home to Milford College, #0.5)",Piper Huguley,https://www.goodreads.com/author/show/8157342.Piper_Huguley,4.19,291,https://goodreads.com/book/show/22602009-the-lawyer-s-luck
,,,,,
