yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang
1991,1,0,0,Ravenna,Ravenna3,Nonfiction,Adult,Cookery,Null,Co,English,English
1971,1,0,0,Ravenna,Ravenna5,Nonfiction,Adult,Cookery,Null,Co,English,English
1984,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,Cr,English,English
2005,1,0,0,Montlake,Montlake4,Nonfiction,Adult,Crafts,Null,Cr,,
2007,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Crafts,Null,Cr,,
1998,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,Cr,English,English
1990,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,Cr,,
1992,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,Cr,English,English
1995,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,Cr,English,English
1998,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,Cr,English,English
1987,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,Cr,English,English
1975,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,Cr,English,English
1979,1,0,1,Northgate,Northgate3,Nonfiction,Adult,Crafts,Null,Cr,English,English
1977,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Crafts,Null,Cr,English,English
1986,1,1,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Crafts,Null,Cr,English,English
1991,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Cultural Studies,Null,CS,English,English
2019,1,0,0,Central District,CentralDistrict1,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2005,1,0,0,Central District,CentralDistrict3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2008,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2001,1,0,0,Central District,CentralDistrict6,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
1998,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Cultural Studies,Null,CS,"English, French",English
2019,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
1993,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2015,1,0,1,Columbia City,ColumbiaCity5,Nonfiction,Adult,Cultural Studies,Null,CS,English,
2000,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
1977,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
1999,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2012,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2001,1,0,0,Northgate,Northgate3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2009,1,0,0,Northgate,Northgate4,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2016,1,0,0,Northgate,Northgate5,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2018,1,0,0,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2005,1,0,0,Phinney-Greenwood,Phinney-Green4,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
1971,1,0,0,Queen Anne,QueenAnne1,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2018,1,1,0,Queen Anne,QueenAnne2,Nonfiction,Adult,Cultural Studies,Anthology,CS,English,English
2018,1,0,0,Queen Anne,QueenAnne2,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
1998,1,0,0,Queen Anne,QueenAnne2,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2009,1,0,0,Queen Anne,QueenAnne3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2004,1,0,0,Queen Anne,QueenAnne3,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2018,1,1,0,Queen Anne,QueenAnne4,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
1991,1,0,0,Ravenna,Ravenna2,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
2004,1,1,0,Ravenna,Ravenna4,Nonfiction,Adult,Cultural Studies,Null,CS,English,English
1970,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Drama,Null,Dr,English,
2001,1,0,0,Northgate,Northgate1,Fiction,Adult,Drama,Null,Dr,English,English
1950,1,0,0,Northgate,Northgate2,Fiction,Adult,Drama,Null,Dr,English,
1967,1,0,0,Northgate,Northgate2,Fiction,Adult,Drama,Null,Dr,English,English
1985,1,1,0,Northgate,Northgate5,Fiction,Adult,Drama,Null,Dr,English,English
1980,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Drama,Null,Dr,,
1997,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Drama,Null,Dr,English,
1993,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Drama,Null,Dr,English,English
2004,1,1,0,Queen Anne,QueenAnne4,Nonfiction,Adult,Graphic/Manga,Null,Gr,English,English
2008,1,0,0,Ravenna,Ravenna3,Fiction,Adult,Graphic/Manga,Null,Gr,,
1984,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,H,English,English
1975,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,H,English,
2007,1,0,1,Columbia City,ColumbiaCity1,Nonfiction,Adult,History,Null,H,English,English
2013,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,History,Null,H,English,English
1992,1,0,0,Central District,CentralDistrict4,Nonfiction,Adult,History,Null,H,English,English
1962,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,History,Biography,H,English,English
2012,1,0,0,Central District,CentralDistrict5,Fiction,Adult,History,Null,H,English,English
1989,1,0,0,Central District,CentralDistrict5,Nonfiction,Adult,History,Null,H,English,English
2017,1,0,0,Columbia City,ColumbiaCity1,Fiction,Adult,History,Novel,H,English,English
1981,1,0,0,Columbia City,ColumbiaCity3,Nonfiction,Adult,History,Biography,H,,Latin
2018,1,0,0,Columbia City,ColumbiaCity5,Nonfiction,Adult,History,Null,H,English,English
2007,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,History,Null,H,English,English
1986,1,0,0,Montlake,Montlake5,Nonfiction,Adult,History,Null,H,English,English
2013,1,0,0,Montlake,Montlake5,Nonfiction,Adult,History,Null,H,English,English
2015,1,0,0,Northgate,Northgate2,Fiction,Adult,History,Anthology,H,English,English
2005,1,0,0,Northgate,Northgate2,Nonfiction,Adult,History,Mystery,H,English,English
2014,1,0,0,Northgate,Northgate2,Nonfiction,Adult,History,Null,H,English,English
2002,1,0,0,Phinney-Greenwood,Phinney-Green1,Nonfiction,Adult,History,Null,H,English,English
2016,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Cultural Studies,H,English,English
2003,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,H,English,English
1985,1,0,0,Phinney-Greenwood,Phinney-Green3,Nonfiction,Adult,History,Null,H,English,English
2017,1,0,0,Ravenna,Ravenna1,Nonfiction,Adult,History,Null,H,English,English
1997,1,0,0,Ravenna,Ravenna4,Fiction,Adult,History,Novel,H,English,English
1984,1,0,0,Ravenna,Ravenna4,Fiction,Adult,History,Novel,H,English,English
1961,1,0,0,Ravenna,Ravenna5,Nonfiction,Adult,History,Null,H,English,English
1971,1,0,0,Ravenna,Ravenna6,Nonfiction,Adult,History,Null,H,English,English
1994,1,0,0,Laurelhurst,Laurelhurst5,Nonfiction,Young Adult,History,Null,H,English,English
1997,1,0,0,Northgate,Northgate1,Fiction,Young Adult,History,Null,H,English,English
1928,1,0,0,Columbia City,ColumbiaCity4,Nonfiction,Adult,Music,Null,Mu,French,
2009,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Music,Null,Mu,English,
2009,1,0,0,Northgate,Northgate1,Nonfiction,Adult,Music,Null,Mu,,
2011,1,0,0,Ravenna,Ravenna2,Nonfiction,Adult,Music,Null,Mu,English,
1993,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Null,Mys,English,English
1997,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Null,Mys,English,English
1991,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Null,Mys,English,English
1986,1,0,0,Central District,CentralDistrict3,Fiction,Adult,Mystery,Null,Mys,English,English
2012,1,0,0,Central District,CentralDistrict4,Fiction,Adult,Mystery,Null,Mys,English,English
1997,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Mystery,Null,Mys,English,English
1997,1,0,0,Central District,CentralDistrict6,Fiction,Adult,Mystery,Null,Mys,,
2019,1,0,0,Columbia City,ColumbiaCity1,Nonfiction,Adult,Mystery,Null,Mys,English,English
2013,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Mystery,Null,Mys,English,English
2004,1,0,0,Columbia City,ColumbiaCity3,Fiction,Adult,Mystery,Null,Mys,English,English
2005,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Mystery,Null,Mys,English,English
2002,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Mystery,Null,Mys,English,English
1997,1,0,0,Laurelhurst,Laurelhurst1,Fiction,Adult,Mystery,Null,Mys,English,English
1987,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Mystery,Null,Mys,English,English
1991,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Mystery,Null,Mys,English,English
2009,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,Mystery,Null,Mys,English,English
1994,1,0,0,Laurelhurst,Laurelhurst4,Fiction,Adult,Mystery,Null,Mys,English,English
2008,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Novel,Mys,English,English
2004,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,Mys,English,English
2001,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,Mys,English,English
1992,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,Mys,English,English
1981,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,Mys,English,English
1995,1,0,0,Laurelhurst,Laurelhurst5,Fiction,Adult,Mystery,Null,Mys,English,English
1996,1,0,0,Montlake,Montlake2,Fiction,Adult,Mystery,Null,Mys,English,English
2008,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,Mys,English,English
2004,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,Mys,English,English
1996,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,Mys,English,English
2014,1,0,0,Montlake,Montlake4,Fiction,Adult,Mystery,Null,Mys,English,English
1997,1,0,0,Montlake,Montlake6,Fiction,Adult,Mystery,Null,Mys,English,English
1993,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,Mys,English,English
1999,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,Mys,English,English
2012,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,Mys,English,English
1997,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,Mys,English,English
1993,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,Mys,English,English
1988,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,Mys,English,English
2017,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,Mys,English,English
2007,1,0,0,Northgate,Northgate3,Fiction,Adult,Mystery,Null,Mys,English,English
1990,1,0,0,Northgate,Northgate4,Fiction,Adult,Mystery,Null,Mys,English,English
1978,1,0,0,Northgate,Northgate4,Fiction,Adult,Mystery,Null,Mys,English,English
1995,1,0,0,Northgate,Northgate4,Fiction,Adult,Mystery,Null,Mys,English,English
2017,1,0,0,Northgate,Northgate5,Fiction,Adult,Mystery,Null,Mys,English,English
2004,1,0,0,Northgate,Northgate5,Fiction,Adult,Mystery,Null,Mys,English,English
2017,1,0,0,Phinney-Greenwood,Phinney-Green1,Fiction,Adult,Mystery,Null,Mys,English,English
1992,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,Mys,English,English
1995,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,Mys,English,English
1991,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,Mys,English,English
1994,1,0,0,Phinney-Greenwood,Phinney-Green2,Fiction,Adult,Mystery,Null,Mys,English,English
2007,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Null,Mys,English,English
2015,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Null,Mys,English,English
2005,1,0,0,Phinney-Greenwood,Phinney-Green3,Fiction,Adult,Mystery,Null,Mys,English,English
1993,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,Mys,English,English
2011,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,Mys,English,English
2002,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,Mys,English,English
1998,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,Mys,English,English
1998,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,Mys,"English, Achinese",English
1966,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,Mys,,
2017,1,0,0,Phinney-Greenwood,Phinney-Green4,Fiction,Adult,Mystery,Null,Mys,English,English
1994,1,0,0,Queen Anne,QueenAnne3,Fiction,Adult,Mystery,Null,Mys,English,English
2000,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,Mys,English,English
1991,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,Mys,English,English
2013,1,0,0,Queen Anne,QueenAnne4,Fiction,Adult,Mystery,Null,Mys,English,English
