neighborhood,lflname,Anthology/Essays/Short stories,Art,Biography/Autobiography/Memoir,Business/Technology,Childrens,Classics,Cookery,Crafts,Cultural Studies,Drama,Graphic/Manga,History,Music,Mystery,Nature/Gardening,Novel,Poetry,Reference,Religion,Romance,SciFi/Fantasy,Science,Self Help/Health,Sports,Thriller/Suspense,Travel,novel
Laurelhurst,Laurelhurst5,0.045454545454545456,0.0,0.045454545454545456,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.2727272727272727,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laurelhurst,Laurelhurst6,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0
Montlake,Montlake2,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
Montlake,Montlake4,0.0,0.04,0.08,0.0,0.04,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.04,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.04,0.0,0.0
Montlake,Montlake5,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.19047619047619047,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.0
Montlake,Montlake6,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.0,0.0
Northgate,Northgate1,0.037037037037037035,0.0,0.0,0.07407407407407407,0.37037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,0.07407407407407407,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,0.0
Northgate,Northgate2,0.05405405405405406,0.0,0.05405405405405406,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.08108108108108109,0.0,0.0,0.0,0.4594594594594595,0.0,0.0,0.10810810810810811,0.0,0.0,0.0,0.0,0.0,0.08108108108108109,0.0,0.0
Northgate,Northgate3,0.006944444444444444,0.006944444444444444,0.034722222222222224,0.0,0.4236111111111111,0.0,0.0,0.0625,0.020833333333333332,0.0,0.0,0.0,0.0,0.05555555555555555,0.020833333333333332,0.1111111111111111,0.0,0.020833333333333332,0.013888888888888888,0.013888888888888888,0.05555555555555555,0.013888888888888888,0.04861111111111111,0.04861111111111111,0.034722222222222224,0.006944444444444444,0.0
Northgate,Northgate4,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2,0.0,0.13333333333333333,0.0,0.0
Northgate,Northgate5,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.0,0.2222222222222222,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0
Phinney-Greenwood,Phinney-Green1,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.35714285714285715,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142
Phinney-Greenwood,Phinney-Green2,0.0,0.0,0.0,0.034482758620689655,0.1724137931034483,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.13793103448275862,0.0,0.1724137931034483,0.034482758620689655,0.0,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.2413793103448276,0.0,0.034482758620689655,0.0,0.0
Phinney-Greenwood,Phinney-Green3,0.0,0.0,0.014492753623188406,0.0,0.30434782608695654,0.0,0.014492753623188406,0.028985507246376812,0.028985507246376812,0.0,0.0,0.07246376811594203,0.0,0.043478260869565216,0.0,0.21739130434782608,0.0,0.0,0.014492753623188406,0.0,0.028985507246376812,0.0,0.15942028985507245,0.014492753623188406,0.028985507246376812,0.028985507246376812,0.0
