nonperson,author,authorOfColor-manual,auto find,checkedRandomly,,
0,Sherwood Anderson,0,n,0,,
0,Shirley MacLaine,0,n,0,,
0,Simon Beecroft,0,n,0,,
0,Simon Goldhill,0,n,0,,
1,Singer,0,n,0,,
0,Siter Vera Gallagher,0,n,0,,
0,"Sneed B. Collard III, Steve Jenkins",0,n,0,,
0,Sonali Fry,1,n,0,,
0,Sophie Boswell,0,n,0,,
0,Sophocles,0,n,0,,
0,Spike Milligan,0,n,0,,
0,Spindler,0,n,0,,
1,Sporting News,0,n,0,,
0,Stan Berenstain,0,n,0,,
0,Stanley Crawford,0,n,0,,
0,Stanley Newman,0,n,0,,
0,Stef Penney,0,n,0,,
0,Stephanie Claire,0,n,0,,
0,Stephanie Tolan,0,n,0,,
0,Stephanie Weeks,0,n,0,,
0,Stephen Clarke,0,n,0,,
0,Stephenie Meyer,0,n,0,,
0,Steve Martini,0,n,0,,
0,Steven Tyler,0,n,0,,
0,Stuart M. Kaminsky,0,n,0,,
0,Stuart Woods,0,n,0,,
0,Sue Grafton,0,n,0,,
0,Sue Harrison,0,n,0,,
0,Sue Henry,0,n,0,,
0,Sue Stanton,0,n,0,,
0,Sunset Book Editors,0,n,0,,
1,Sunset Books,0,n,0,,
0,Susan Au,0,n,0,,
0,Susan Hayward,0,n,0,,
0,Susan L Reynolds,0,n,0,,
0,Susan Sly,0,n,0,,
0,Suzanne Collins,0,n,0,,
0,Suzanne Francis,0,n,0,,
0,Suzanne Selfors,0,n,0,,
0,Suzanne Tate,0,n,0,,
0,Svetlana Alexievich,0,n,0,,
0,Swami Muktananda,1,n,0,,
0,"Swami Prabhavananda, Christopher Isherwood",1,n,0,,
0,Tariq Ali,1,n,0,,
0,Taryn Souders,0,n,0,,
0,Ted Dekker,0,n,0,,
0,Teddy Slater,0,n,0,,
0,Terry Harknett,0,n,0,,
1,The Clever Factory,0,n,0,,
1,The Editors of Eastman Kodak Company,0,n,0,,
0,Thomas L. Friedman,0,n,0,,
0,Thomas Macri,0,n,0,,
0,Thomas Mann,0,n,0,,
0,Thomas Nelson,0,n,0,,
0,Thomas Orton,0,n,0,,
0,Tim Federle,0,n,0,,
0,Tim Schenck,0,n,0,,
0,Tim Wu,1,n,0,,
0,Todd Strasser,0,n,0,,
0,Tom McAllister,0,n,0,,
0,Tomie DePaola,0,n,0,,
0,Tori Haring-Smith,0,n,0,,
0,Tosha Silver,0,n,0,,
0,Tracey West,0,n,0,,
0,Trish Hart,0,n,0,,
0,Umberto Saba,0,n,0,,
0,unknown,0,n,0,,
0,V. S. Naipaul,1,n,0,,
0,Valentine M. Moghadam,0,n,0,,
0,Valerie Tripp,0,n,0,,
0,Varios,0,n,0,,
