Cataloger,Book ID,Title,Count,Date,Neighborhood,Collections,Fiction or Nonfiction,Age Group,Category1,Category2,Dewey Wording,Subjects,Dewey Decimal,Summary,Languages,Original Languages,LC Classification,ISBN,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Role,Publication,Review,Rating,Comment,Private Comment,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,ISBNs,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
H,168634886,Coming to My Senses: The Making of a Counterculture Cook,1,2018,Central District,CD3,Nonfiction,Adult,Biography/Autobiography/Memoir,Cookery,> > Biography > Biography And History > Cooking > Food And Drink > Home Economics > Technology,,641.5092,Coming to My Senses: The Making of a Counterculture Cook by Alice Waters (2018),English,English,,[0307718298],1,pifer,Editor,,,united states department of agriculture (1986),,,,,Pamphlet,,,,,,,,,,,,,,,,,1,amazon.com books,2019-05-08,,,23221156,,,,
H,168635659,Reading Expeditions (Social Studies: Voices From America's Past): Dust Bowl Days,1,2007,Central District,CD4,Nonfiction,Adult,Biography/Autobiography/Memoir,History,Biography and History > North America > Western U.S.,,978.0904,Reading Expeditions (Social Studies: Voices From America's Past): Dust Bowl Days by National Geographic Learning (2007),English,English,,[9780792245575],1,"Carey, Peter Stafford",Author,,,"Faber & Faber (2011), Edition: Main, 592 pages",,,,,Paperback,592 p.; 4.96 inches,1.01 pounds,4.96 inches,7.8 inches,1.46 inches,4.96 x 1.46 x 7.8 inches,592 ,,,,,,,,"[0571253326, 9780571253326]",,1,amazon.com,2019-05-05,,,9029866,,,,
H,168006894,"Susan B. Anthony Rebel, Crusader, Humanitarian",1,2011,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,History,Biography > Biography > Biography and History > By Gender,,920.7,"Susan B. Anthony Rebel, Crusader, Humanitarian by Alma Lutz (2011)",English,English,JK1899 .A6,,1,"Huebner, Frederick D.",Author,,,"Fawcett (1988), Edition: Reissue",,,,,Paperback,4.25 x 0.75 inches,,0.75 inches,7 inches,4.25 inches,0.75 x 4.25 x 7 inches,,,,,,,,,"[0449134210, 9780449134214]",,1,amazon.com books,2019-05-05,,,657911,,,,
H,168007511,The Great Hurricane: 1938,1,2005,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,History,Biography and History > North America > United States,"Hurricanes > Long Island > History|Hurricanes > New England > History|Long Island (N.Y.) > History > 20th century|New England > History > 20th century|New England Hurricane, 1938",973,The Great Hurricane: 1938 by Cherie Burns (2005),English,English,F9 .B965,[087113893X],1,"Sheldon, Sidney",Author,,,"Grand Central Publishing (1995), 400 pages",,,,,Paperback,400 p.; 4.25 inches,0.43 pounds,4.25 inches,6.88 inches,1.13 inches,4.25 x 1.13 x 6.88 inches,400 ,,,,,,,,"[9780446354738, 0446354732]",,1,amazon.com books,2019-05-05,,,1903971,,,,
H,168007635,Light This Candle: The Life & Times of Alan Shepard--America's First Spaceman,1,2004,Northgate,Northgate3,Nonfiction,Adult,Biography/Autobiography/Memoir,History,"Astronauts and Space Travel  > Biographies & History > Biography > Engineering, contracts > General & Biography > General & Biography > Manned space flight > Other Branches > Technology","Astronauts > United States > Biography|Shepard, Alan B. (Alan Bartlett), 1923-|Shepard, Alan B. (Alan Bartlett), 1923-1998",629.450092,Light This Candle: The Life & Times of Alan Shepard--America's First Spaceman by Neal Thompson (2004),English,English,TL789.85 .S5,[0609610015],1,"Foster, Richard. J.",Author,,,"HarperSanFrancisco (1988), Edition: 1st, 227 pages",,,,,Hardcover,227 p.; 5.79 inches,0.9 pounds,5.79 inches,8.58 inches,0.79 inches,5.79 x 0.79 x 8.58 inches,227 ,,,,,,,,"[9780060628390, 0060628391]",,1,amazon.com books,2019-05-05,,,9637110,,,,
H,168225662,Of Beetles and Angels: A Boy's Remarkable Journey from a Refugee Camp to Harvard,1,2002,Columbia City,Cc 4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Biography and History > Ethnic And National Groups > North America > Other Groups > United States,,973.0492801,Of Beetles and Angels: A Boy's Remarkable Journey from a Refugee Camp to Harvard by Mawi Asgedom (2002),English,English,E184 .E74,[9780316826204],1,"Carr, Robyn",Author,,,"Mira Books (2015), Edition: 1st, 315 pages",,,,,Paperback,315 p.; 4.23 inches,0.39 pounds,4.23 inches,6.56 inches,0.99 inches,4.23 x 0.99 x 6.56 inches,315 ,,,,,,,,"[0778317498, 9780778317494]",,1,amazon.com books,2019-05-05,,,15911420,,,,
H,168225721,A Long Way Gone: Memoirs of a Boy Soldier,1,2008,Columbia City,Cc 4,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Africa > Biography and History > Sierra Leone > West Africa [Memoir],"Beah, Ishmael, 1980-|Child soldiers > Sierra Leone > Biography|Sierra Leone > History > Civil War, 1991- > Participation, Juvenile|Sierra Leone > History > Civil War, 1991- > Participation, Juvenile > Biography|Sierra Leone > History > Civil War, 1991- > Personal narratives|Sierra Leone > History > Civil War, 1991-2002 > Personal narratives|Sierra Leone > Participation, Juvenile > Civil War, 1991- > Biography|Sierra Leone > Participation, Juvenile. > Civil War, 1991-2002|Sierra Leone > Social conditions > 1961-",966.404,A Long Way Gone: Memoirs of a Boy Soldier by Ishmael Beah (2008),English,English,DT516.828 .B43,[9780374531263],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,168227857,Sez Who? Sez Me,1,1982,Columbia City,Cc 5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,"Biography And History > Culture and Institutions > North America > Social Sciences > Social Sciences, Sociology, Anthropology > United States [collection of essays]",Chicago (Ill.)|United States > Politics and government > 1977-1981|United States > Social life and customs > 1971-,306.0973,Sez Who? Sez Me by Mike Royko (1982),English,English,F548.52 .R687,[9780525241256],1,"Miller, Linda Lael",Author,,,"HQN (2012), Edition: Original, 384 pages",,,,,Paperback,384 p.; 4.22 inches,0.4 pounds,4.22 inches,6.61 inches,1 inch,4.22 x 1 x 6.61 inches,384 ,,,,,,,,"[0373776772, 9780373776771]",,1,amazon.com all media,2019-05-05,,,2416274,,,,
H,168227865,Like I Was Sayin'...,1,1984,Columbia City,Cc 5,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,Biography and History > Chicago > Cook; Chicago > Illinois > Midwestern U.S. > North America,"Chicago (Ill.)|Royko, Mike, 1932-1997",977.311,Like I Was Sayin'... by Mike Royko (1984),English,English,F548.35 .R69,[0525242686],1,"Mills, Vic",Author,,,"Hara Publishing Group (2002), 347 pages",,,,,Paperback,347 p.; 7.48 inches,,7.48 inches,0.86 inches,5.32 inches,7.48 x 5.32 x 0.86 inches,347 ,,,,,,,,"[0970177305, 9780970177308]",,1,amazon.com books,2019-05-05,,,16042654,,,,
H,168221011,"Waking the Witch: Reflections on Women, Magic, and Power",1,2019,Columbia City,Cc1,Nonfiction,Adult,Biography/Autobiography/Memoir,Null,[Memior],,,"Waking the Witch: Reflections on Women, Magic, and Power by Pam Grossman (2019)",English,English,,[1982100702],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
