neighborhood,lflname,Adventure,Anthology/Essays/Short stories,Art,Biography/Autobiography/Memoir,Business/Technology,Childrens,Classics,Comedy,Cookery,Crafts,Domestic Fiction,Drama,Graphic/Manga,Historical Fiction,History,Literary Fiction,Music,Mystery,Nature/Gardening,Poetry,Politics,Reference,Religion,Romance,SCiFi/Fantasy,SciFi/Fantasy,Science,Self Help/Health,Sports,Suspense,Travel,Western
Laurelhurst,Laurelhurst1,0.0,0.0,0.0,18.336511662021415,0.0,36.67302332404283,0.0,0.0,0.0,0.0,18.336511662021415,0.0,0.0,18.336511662021415,0.0,0.0,0.0,55.00953498606425,0.0,0.0,0.0,0.0,0.0,36.67302332404283,0.0,0.0,0.0,55.00953498606425,0.0,18.336511662021415,0.0,0.0
Laurelhurst,Laurelhurst2,0.0,0.0,0.0,0.0,0.0,18.553908380800415,9.276954190400208,0.0,0.0,0.0,0.0,0.0,0.0,9.276954190400208,0.0,0.0,0.0,18.553908380800415,9.276954190400208,0.0,0.0,0.0,0.0,0.0,0.0,27.830862571200623,0.0,9.276954190400208,0.0,18.553908380800415,0.0,9.276954190400208
Laurelhurst,Laurelhurst3,0.0,0.0,0.0,14.869446261821212,14.869446261821212,89.21667757092727,0.0,0.0,59.47778504728485,0.0,0.0,0.0,0.0,0.0,14.869446261821212,14.869446261821212,0.0,14.869446261821212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.47778504728485,0.0,0.0,0.0,0.0,0.0,0.0
Laurelhurst,Laurelhurst4,16.470665744309386,16.470665744309386,16.470665744309386,16.470665744309386,0.0,16.470665744309386,0.0,0.0,0.0,0.0,16.470665744309386,0.0,0.0,32.94133148861877,0.0,16.470665744309386,0.0,32.94133148861877,16.470665744309386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.470665744309386,16.470665744309386,16.470665744309386,0.0
Laurelhurst,Laurelhurst5,0.0,18.081220844031392,0.0,18.081220844031392,0.0,144.64976675225114,0.0,0.0,0.0,0.0,54.24366253209417,0.0,0.0,18.081220844031392,18.081220844031392,18.081220844031392,0.0,108.48732506418834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laurelhurst,Laurelhurst6,0.0,0.0,0.0,0.0,0.0,22.70250635670178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.70250635670178,0.0,22.70250635670178,0.0,0.0,45.40501271340356,0.0,0.0,22.70250635670178,22.70250635670178
Montlake,Montlake1,0.0,0.0,16.951163697387827,16.951163697387827,16.951163697387827,0.0,0.0,0.0,271.21861915820523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.951163697387827,0.0,16.951163697387827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.85349109216348,0.0,0.0,0.0,0.0
Montlake,Montlake2,0.0,0.0,16.951163697387827,33.902327394775654,0.0,16.951163697387827,0.0,0.0,33.902327394775654,16.951163697387827,16.951163697387827,0.0,0.0,16.951163697387827,0.0,50.85349109216348,0.0,67.80465478955131,16.951163697387827,0.0,0.0,0.0,16.951163697387827,16.951163697387827,0.0,0.0,0.0,50.85349109216348,16.951163697387827,33.902327394775654,0.0,0.0
Montlake,Montlake3,0.0,20.86288909288158,20.86288909288158,20.86288909288158,20.86288909288158,41.72577818576316,0.0,0.0,20.86288909288158,0.0,20.86288909288158,0.0,0.0,0.0,41.72577818576316,41.72577818576316,0.0,20.86288909288158,0.0,0.0,0.0,20.86288909288158,0.0,0.0,0.0,0.0,0.0,62.58866727864474,20.86288909288158,20.86288909288158,41.72577818576316,0.0
Montlake,Montlake4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.28073639137458,0.0,51.28073639137458,25.64036819568729,0.0,0.0,0.0,0.0,0.0,25.64036819568729,0.0,25.64036819568729,0.0,0.0,0.0,0.0,0.0,51.28073639137458,0.0,0.0,0.0,25.64036819568729,0.0,25.64036819568729
Northgate,Northgate1,0.0,20.86288909288158,0.0,20.86288909288158,41.72577818576316,208.62889092881582,0.0,0.0,0.0,0.0,0.0,20.86288909288158,0.0,20.86288909288158,0.0,0.0,20.86288909288158,20.86288909288158,0.0,0.0,0.0,0.0,62.58866727864474,0.0,0.0,20.86288909288158,0.0,0.0,0.0,83.45155637152632,0.0,0.0
Northgate,Northgate2,0.0,63.56605572624218,0.0,63.56605572624218,0.0,84.75474096832292,21.18868524208073,0.0,0.0,0.0,42.37737048416146,42.37737048416146,0.0,84.75474096832292,63.56605572624218,105.94342621040364,0.0,21.18868524208073,0.0,0.0,0.0,0.0,84.75474096832292,0.0,0.0,42.37737048416146,0.0,0.0,0.0,63.56605572624218,0.0,0.0
Northgate,Northgate3,0.7841261502150466,0.7841261502150466,0.7841261502150466,3.920630751075233,0.0,48.615821313332894,1.5682523004300932,0.0,0.0,7.05713535193542,1.5682523004300932,0.0,0.0,3.1365046008601865,0.0,0.7841261502150466,0.0,7.05713535193542,2.35237845064514,0.0,2.35237845064514,2.35237845064514,3.1365046008601865,3.1365046008601865,0.0,6.273009201720373,1.5682523004300932,5.488883051505327,5.488883051505327,3.920630751075233,0.7841261502150466,0.0
Northgate,Northgate4,0.0,20.86288909288158,0.0,0.0,0.0,20.86288909288158,20.86288909288158,0.0,41.72577818576316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.58866727864474,20.86288909288158,0.0,0.0,0.0,0.0,0.0,0.0,20.86288909288158,0.0,62.58866727864474,0.0,41.72577818576316,0.0,0.0
Northgate,Northgate5,0.0,20.86288909288158,0.0,41.72577818576316,0.0,20.86288909288158,41.72577818576316,0.0,0.0,0.0,20.86288909288158,20.86288909288158,0.0,20.86288909288158,0.0,0.0,0.0,62.58866727864474,0.0,0.0,20.86288909288158,20.86288909288158,20.86288909288158,0.0,0.0,0.0,0.0,20.86288909288158,0.0,41.72577818576316,0.0,0.0
Phinney-Greenwood,Phinney-Green1,0.0,0.0,0.0,99.0638466491654,0.0,0.0,0.0,24.76596166229135,0.0,0.0,0.0,24.76596166229135,0.0,49.5319233245827,24.76596166229135,0.0,0.0,49.5319233245827,0.0,0.0,0.0,0.0,0.0,24.76596166229135,0.0,0.0,0.0,24.76596166229135,0.0,24.76596166229135,0.0,0.0
Phinney-Greenwood,Phinney-Green2,10.427854885971406,0.0,0.0,0.0,10.427854885971406,52.13927442985704,10.427854885971406,0.0,0.0,0.0,10.427854885971406,10.427854885971406,0.0,10.427854885971406,0.0,0.0,0.0,52.13927442985704,0.0,10.427854885971406,0.0,0.0,10.427854885971406,10.427854885971406,0.0,20.855709771942813,0.0,72.99498420179985,0.0,10.427854885971406,0.0,0.0
Phinney-Greenwood,Phinney-Green3,4.798971100596032,0.0,0.0,4.798971100596032,0.0,105.5773642131127,0.0,4.798971100596032,4.798971100596032,9.597942201192064,19.195884402384127,0.0,0.0,9.597942201192064,23.994855502980162,4.798971100596032,0.0,19.195884402384127,0.0,0.0,9.597942201192064,0.0,14.396913301788096,4.798971100596032,0.0,14.396913301788096,0.0,52.78868210655635,4.798971100596032,9.597942201192064,9.597942201192064,0.0
